Product Title,Product Rating,Price,Brand,Shipment Status,Seller Rating,Ship on Time Score,Mall Varification,Delivery Status,Reviews,Specification
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved,5.0,70999,Apple,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,"97% battery, scratch less, excellent condition, just like new.","Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked.


Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved
Brand Apple SKU 434297529_PK-2082868613 Storage capacity 64GB
What’s in the box 1x Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Red 64 GB - PTA Approved"
Samsung Galaxy A14 4GB+128GB,4.7,51999,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na,"Samsung A14 4/128
Samsung A14 - 4 GB RAM - 128 GB ROM
Specifications of Samsung Galaxy A14 4GB+128GB
Brand Samsung SKU 422211748_PK-1998041160 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Phone, 1 x User Manual"
"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM",4.6,27250,No Brand,Free Delivery,85,72,Not specified,Free Delivery,"Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller...","1 Year Brand Warranty
Brand New, Box Pack
Display : 6.6"" Inch HD+ 90Hz
OS : Android 12
Memory : 8GB + 8GB RAM , 128GB/256GB ROM
Processor : Octa-core, Unisoc T606
Main Camera : 50 MP Dual
Front Camera : 8 MP
Battery : Li-Po 6000 mAh, non-removable
18W Fast Charging
PTA Approved
S23 Super Smooth and Colorful.
   "
Samsung Galaxy A04 4GB+64GB,4.6,26999,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,Zabrdast mobile hy. Original packing k sath. Markeet me final 39000 ka mil raha tha. Daraz se 36500 ka mila hy. Thnkew daraz,"Samsung Galaxy A04
6.5” inches Display
Android 12
720 x 1600 pixels
2.35 ghz Octa Core Processor
5000 mAh non Removable Battery
Samsung A04 4GB+64GB
Specifications of Samsung Galaxy A04 4GB+64GB
Brand Samsung SKU 421205430_PK-1988618927 Protection Not Specified Number Of Cameras Not Specified Year Not Specified Warranty Policy EN 1 year
What’s in the box 1 x Phone, 1 x User Manual"
Samsung Galaxy A54 8GB+256GB,4.6,128999,Samsung,Fastest Delivery,92,100,Daraz Mall Verified,Fastest Delivery,"Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out.","6.4 inches, 100.5 cm2 (~82.9% screen-to-body ratio)Android 13, One UI 5.150 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1.12µm 5 MP, f/2.4, (macro)Li-Po 5000 mAh, non-removable
6.4 inches, 100.5 cm2 (~82.9% screen-to-body ratio) Android 13, One UI 5.1 50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1.12µm 5 MP, f/2.4, (macro) Li-Po 5000 mAh, non-removable
Specifications of Samsung Galaxy A54 8GB+256GB
Brand Samsung SKU 432674368_PK-2125093041 Protection Not Specified Number Of Cameras Not Specified Year Not Specified
What’s in the box 1 x Phone, 1x Charger"
Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,4.7,29999,Samsung,Free Delivery,84,100,Daraz Mall Verified,Free Delivery,Thanks 👍 to seller and Thanks to rider very fast delivery 🚚 Thank you so much ♥️ i also uploaded unboxing video on YouTube Thank you Daraz,"General Featuresphone system active phoneSIM SupportSingle SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)Phone Dimensions164.4 x 76.3 x 9.1 mmPhone Weight192 gOperating SystemAndroid 12, One UI Core 4.1DisplayScreen Size6.5 inchesScreen Resolution720 x 1600 pixelsScreen TypePLS LCD Capacitive Touchscreen, 16M Colors, MultitouchScreen ProtectionN/AMemoryInternal Memory64GBRAM4/GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessor2.35 Ghz Octa CoreBatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera5 MPFront Flash LightNoFront Video RecordingYesBack Flash LightYesBack Camera50 MP + 2 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioN/AWiFiYesNFCNo"
Samsung Galaxy A04e 3GB+32GB,4.8,28699,Samsung,Standard Delivery,92,100,Daraz Mall Verified,Standard Delivery,Both Acha phone hai tanks seller thanks daraz colour b outstanding hai use main behtreen use k bàad view dy rahe thanks again,"6.5' Display, Android 12, 5000 mah battery
6.5' Display, Android 12, 5000 mah battery
Specifications of Samsung Galaxy A04e 3GB+32GB
Brand Samsung SKU 424968322_PK-2012724492 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 X MOBILE PHONE 1 X USERGUIDE 1 X CHARGER"
"Redmi 12 - 6.79"" Inch Display - 8GB RAM - 128GB ROM",4.8,43950,No Brand,Free Delivery,85,72,Not specified,Free Delivery,"Thanks Daraz and seller, excellent service same as shown in picture and producg receive in 3 days","1 Year Brand Warranty
Display : 6.7"" Inch PLS LCD, 90Hz
OS : Android 13
Memory : 8GB RAM , 128GB ROM
Processor : Octa-Core, MediaTek Helio G88
Main Camera : 50 MP + 8 MP + 2 MP
Front Camera : 8 MP
Side-Mounted FingerPrint and FaceUnlock
Battery : 5000 mAh, non-removable
18W Fast Charging
PTA Approved"
"Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved",4.2,33999,Nokia,Free Delivery,91,100,Daraz Mall Verified,Free Delivery,Bht acha mobile h😍hm bht khush hain itna acha r discount py mobile khareda hmny ❤️thank you so much daraz and seller 💕😍seller is really very cooperative 😍Allah apko khush rkhy amen. ❤️Jo Jo chez mentioned h description mein. Wo sb delivered hoi h😍💙,"6.7” HD+ display: Bigger view of the things you love. Wherever, whenever.
Triple-rear and selfie cameras powered by Camera from Google: Capture breath-taking scenic views, beautiful portrait images and stellar night shots.
Comes with Android 12: More personal, secure and intuitive than ever before.
Durable, reliable and efficient: Nokia phone build-quality with IP52 ingress protection and streamlined software.
Be yourself for longer: Nokia C31 gives you the freedom to keep going from just a single charge, so you can stream, scroll, surf – you name it – for longer. It’s all thanks to 3-day battery life and AI-powered battery-saving features."
"Redmi Note 12 - 6.67"" Inch Display - 8GB RAM - 128GB / 256GB ROM",3.6,50950,No Brand,Free Delivery,85,72,Not specified,Free Delivery,"Just received didn’t open yet, Took 16 days to deliver. Daraz had no idea and could not help at all. Somebody should pay for this delay.","1 Year Brand Warranty
Display : 6.67"" Inch AMOLED, 120Hz,
OS : Android 13
Memory : 8GB RAM , 128GB/256GB ROM
Processor : OctaCore, Qualcomm Snapdragon 685
Main Camera : 50 MP + 8 MP + 2 MP
Front Camera : 13 MP
Battery : Li-Po 5000 mAh, non-removable
Fingerprint (side-mounted) and FaceUnlock
PTA Approved
General
Model : Redmi Note 12 
Type : 
Dimensions : 165.7 x 76 x 7.9 mm
Weight : 183.5 Grams
Waterproof : No
Display
Display Type : AMOLED
Size : 6.67 inches
Resolution : 1080 x 2400 pixels
Display Colors : 16M Colors
Pixel Density : Touch Screen : Yes
Features : 450 nits
Hardware
RAM (Memory) : 8 GB
Internal Storage : 128/256 GB
Memory Card Slot : Yes
Sensors : Rear-mounted fingerprint, accelerometer, proximity
Software"
"Redmi A1 Plus - 6.52"" Inch Display - 2GB RAM - 32GB ROM",4.7,18899,No Brand,Free Delivery,85,72,Not specified,Free Delivery,Nice same as description no fault but invoice bill or warranty card is not included how I claim my mobile and resealed box,"1 Year Brand Warranty
OS : Android 12
Display : 6.52"" Inch, Dot Drop LCD Display
Memory : 2GB+2GB Extended RAM, 32GB ROM
Processor : Powerfull Ocat-Core, Mediatek Helio A22
Main Camera : 8 MP DUAL
Front Camera : 5 MP
Battery : 5000 mAh
PTA Approved"
"Infinix Hot 30 Play - 6.82"" Inch Display - 4GB RAM - 64GB / 12GB ROM",4.7,29899,No Brand,Free Delivery,85,72,Not specified,Free Delivery,The phone is very nice although the delivery was a little slow. The price was higher than the market even after discounts which is very disappointing.,"1 Year Brand Warranty
Display : 6.6"" Inch IPS LCD, 90Hz
OS : Android 12
Memory : 4GB RAM , 64GB / 128GB ROM
Processor : Octa-Core, Mediatek Helio G37
Main Camera : 16 MP Dual
Front Camera : 8 MP
Side-Mounted FingerPrint and FaceUnlock
Battery : 6000 mAh, non-removable
18W Fast Charging
PTA Approved"
"Nokia C31 - 4GB / 64GB - Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 64GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved",4.4,24999,Nokia,Free Delivery,91,100,Daraz Mall Verified,Free Delivery,received the parcel in appropriate condition. price is good seller was coperative. color size and sleakness of the mobile is kamaal. i hope it would work fine.,"4GB RAM, 64GB storage, 6.7” HD+ display: Bigger view of the things you love. Wherever, whenever. Triple-rear and selfie cameras powered by Camera from Google: Capture breath-taking scenic views, beautiful portrait images and stellar night shots. Comes with Android 12: More personal, secure and intuitive than ever before. Durable, reliable and efficient: Nokia phone build-quality with IP52 ingress protection and streamlined software. Be yourself for longer: Nokia C31 gives you the freedom to keep going from just a single charge, so you can stream, scroll, surf – you name it – for longer. It’s all thanks to 3-day battery life and AI-powered battery-saving features.
￼ ￼ ￼ ￼ ￼
Specifications of Nokia C31 - 4GB / 64GB - Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 64GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved
Brand Nokia SKU 377693523_PK-1887139252 Protection Corning Gorilla Glass 5 Year Not Specified Number Of Cameras 3
What’s in the box 1 x Charger, 1 x Headset, 1 x Jelly Case, 1 x Quick Start Guide, 1 x Safety Booklet, 1 x Micro USB C"
"Samsung Galaxy A14 - 6.6"" Inch Display - 6GB RAM - 128GB ROM",5.0,55850,No Brand,Free Delivery,85,72,Not specified,Free Delivery,MASHA ALLAH RECEIVED ORIGINAL PRODUCT AND THE DELIVERY Is ALSO DONE IN ONLY 2 DAYS PTA APPROVED,"1 Year Brand Warranty
Display : 6.6"" Inch PLS LCD
OS : Android 13
Memory : 6GB RAM , 128GB ROM
Processor : Octa-Core, MediaTek Helio G80
Main Camera : 50 MP + 5 MP + 2 MP
Front Camera : 13 MP
Side-Mounted FingerPrint and FaceUnlock
Battery : 5000 mAh, non-removable
15W Fast Charging
PTA Approved"
iPhone X - Official PTA Approved - 64gb and 256gb - original battery with Face id Working 100% - Best Phone for Gaming and Photography,5.0,92999,No Brand,Free Delivery,100,100,Not specified,Free Delivery,Very good phone. Outstanding condition. Arrived safely. Very co-operative seller. Recommended All.,"pre { white-space: pre-wrap; }• Official PTA Approved iPhone X with Face ID• Available in 64gb and 256gb storage options• Original battery with fast charging capability• Best phone for gaming and photography• 5.6-6 inch scratch-resistant glass display• 400-500 PPI pixel density for clear visuals• Touchscreen, GPS, WiFi, NFC, and more features• Nano SIM card compatible• Accelerometer, proximity, and barometer sensors• Face recognition for added securityThe device is not box pack, these are slightly used imported kits not used in Pakistan .
The iPhone X was available in two storage capacities: 64GB and 256GB. Whether you opted for the ample 64GB for everyday needs or the capacious 256GB for those who demanded more storage space, both variants featured the same iconic design, Super Retina display, Face ID technology, and powerful A11 Bionic chip, offering users a seamless blend of style and performance tailored to their storage preferences.
Specifications of iPhone X - Official PTA Approved - 64gb and 256gb - original battery with Face id Working 100% - Best Phone for Gaming and Photography
Brand No Brand SKU 438159695_PK-2119064119 Battery Capacity 2000 - 2999 mAh Phone Features Touchscreen,GPS,Wifi,Compass,Gyro,WiFi,NFC,Always-on Display,Face Recognition,Accelerometer,Proximity,Barometer Protection Scratch Resistant Glass PPI 400-500 PPI Screen Size (inches) 5.6 - 6 Inch Sim Type Nano Year 2017 Fast Charging Yes Number Of Cameras 1
What’s in the box 1x Phone X"
